Artists,Recognized by SD?,Tags
Vivian Maier,Yes,"monochromatic, photography, portrait, scene"
Vladimir Kush,Yes,"scene, surrealism, whimsical"
Walter Crane,Yes,"detailed, art nouveau"
Walter Langley,Yes,"realism, watercolor, scene"
Wassily Kandinsky,Yes,"bauhaus, expressionism, abstract, vibrant"
Wayne Barlowe,Yes,"sci-fi, fantasy, dark"
Wes Anderson,Yes,"vibrant, whimsical, photography"
William Blake,Yes,"romanticism, dark, scene"
William Holman Hunt,Yes,"portrait, romanticism, scene"
William Morris,Yes,"art nouveau, detailed, textile, texture"
Winslow Homer,Yes,"landscape, realism, seascape, impressionism"
WLOP,Yes,"character, portrait, digital"
Wojciech Siudmak,No,
Worthington Whittredge,Yes,"landscape, nature, painting, realism, scene"
Yaacov Agam,Yes,"vibrant, colorful, abstract, angular"
Yayoi Kusama,Yes,"vibrant, polka dots, installation, fashion"
Yoji Shinkawa,Yes,"character, comics, monochromatic, messy, high contrast"
Yoshitaka Amano,Yes,art nouveau
Yuumei,Yes,"digital, whimsical, character"
Zdzisław Beksiński,Yes,"surrealism, dark, horror"
三叠色 Size,No,
薯子Imoko,Yes,"anime, character"
